TacGia,NoiDung,URLBaiViet,NgayTao,BinhLuan,TongSoBinhLuan
Ẩn danh,cho em hỏi từ đây đến thi kết thúc năm học thì còn hoạt động nào được cộng điểm công tác xã hội nữa hk ạ,https://www.facebook.com/groups/mku.cfs/posts/2216337249106411/,2026-05-05T14:34:28.801Z,LavenderQuince1072: Có clb tiếng Anh vào chiều thứ sáu tuần này 5h HTA nhé 1,1
Ẩn danh,Em ở ktx mn cho em hỏi là em có cần đem hết tất cả đồ ở ktx về k hay vẫn đc để đồ ạ,https://www.facebook.com/groups/mku.cfs/posts/2216329512440518/,2026-05-05T14:34:28.801Z,"Người tham gia ẩn danh 660: Bn muốn đi đâu à | Người tham gia ẩn danh: Người tham gia ẩn danh 660 hè nên về quê á | Người tham gia ẩn danh: Người tham gia ẩn danh 660 tại cha mẹ mình vẫn muốn mình ở ktx á | Người tham gia ẩn danh 660: Người tham gia ẩn danh ưm mik nghĩ bn nên tìm trọ đi, sắp tới mấy e k27 zo coi chừng ko đủ ktx ngta đuổi ra luôn đấy 4",4
Khôi Nguyễn,Mn ơi ai có thông tin của thầy/cô nào tuyển sinh đào tạo từ xa cho e xin với ạ,https://www.facebook.com/groups/mku.cfs/posts/2216328699107266/,2026-05-05T14:34:28.801Z,Anhnguyet Pham: Inbox cô hoặc zAlo 0931730345 cô hỗ trợ chi tiết nhé | Mưa Bay: Ib đi em 2,2
RedLion9310,Các anh chị nghĩ sao về 1 bạn học trường giáo dục thường xuyên mà lo học với không có tụ tập ăn chơi quậy phá ạ. ( Em con trai ),https://www.facebook.com/groups/mku.cfs/posts/2216308892442580/,2026-05-05T14:34:28.801Z,"tatcacacemlacuaanh: Báo công an | 123ebe: Sao cứ thấy có vấn đề ấy nhở, có mùi nguy hiểm | naniniiniani: học ở đâu làm dì cũng được, đừng bị lây bởi mấy cái đó là được | Người tham gia ẩn danh 676: Tối thiểu của 1 ng con trai rồi mà nhỉ nói như ko ăn chơi quậy phá là ngonnn lắm rồi | Hoanq Phonqq: Thànhh Đạtt | Hoài Thanh Xuân: thấy bình thường | Boihaimaidaiamduong2020: Bth thoi | Người tham gia ẩn danh 213: Bình thường | Physical Trọng Nguyễn: Ái Vi đẹp trai là tui chấp nhận hết | LavenderQuince1072: có cố gắng là tốt rùi 10",10
Thùy Trâm,Mình là cụ Sanh Viên Trường chào mấy bạn nha hihi...,https://www.facebook.com/groups/mku.cfs/posts/2216313825775420/,2026-05-05T14:34:28.801Z,Mưa Bay: E cũng là cựu sinh viên trường e xin kính chào chị nhá 1,1
AmbitiousFish5064,Cần tìm in4 bn này nảy gặp bn ngủ trong thang máy nhìn dthương quá ,https://www.facebook.com/groups/mku.cfs/posts/2216248262448643/,2026-05-05T14:34:28.801Z,Ngân Quỳnh: Yến Oanh dắt về cho uống thuốc đi bà | Thành Huyy: Huỳnh Lê Công Nhật nhìn quen quen bạn | Người tham gia ẩn danh 172: Khanh Lê nhìn quen quen mậy | NT Hyền Trân: Khanh Vy Nguyễn Huỳnh Như ê nó kìa 4,4
pig iu,Anh chị cho em hỏi giấy chứng nhận lớp bồi dưỡng đảng mình nhờ ngkhác nhận dùm được k ạ,https://www.facebook.com/groups/mku.cfs/posts/2216280835778719/,2026-05-05T14:34:28.801Z,Mưa Bay: Ko được nhá e | Mưa Bay: pig iu thường là giấy chứng nhận lớp cảm đảng ai đi học phải nhận giấy chứ ko nhận thay được còn phải ký xác nhận này kia nữa e | pig iu: Mưa Bay dạ mình nhờ lớp trưởng nhận cũng hong được hả c 3,3
Ẩn danh,Ở cổng sau trường còn trọ nào trống kh ạ?,https://www.facebook.com/groups/mku.cfs/posts/2216260762447393/,2026-05-05T14:34:28.801Z,"Sương Nguyễn: Võ Thị Cẩm Thuý cổng sau. Trọ lầu mới xây, ngay xe nước mía | Người tham gia ẩn danh 937: ở ghép với tui hong ông | Ngọc Yến: Dạ có phòng cho 1 ng ở ạ 3",3
NAM_HỌC_LUẬT,Mình tặng 6 câu Kinh Tế Chính Trị của thầy lợi có gì mn để lại sdt mik ib ạ - mik xin phép ko tặng m bạn học luật nha mong add duyệt,https://www.facebook.com/groups/mku.cfs/posts/2216218695784933/,2026-05-05T14:34:28.801Z,"Người tham gia ẩn danh 236: 0916344246 mình xin vs ạ | Ngọcc Thơ: Cho mình xin với, 0376138429, mình cảm ơn nhiều ạ | CharmingTurkey7231: Cho em xin với ạ 0706494547 em xin cảm ơn ạ | idiB: 0786838510 e xin | bobiecbay19001533: Bảo Nam | PaulTD860: 0375494232 em xin ạ | Người tham gia ẩn danh 647: 0789514887 cho mình xin với ạaa | Người tham gia ẩn danh 497: Cho em xin với ạ 0948203418.em cảm mơn | côgáihiềnlànhcócâycàlem: cho em xin với ạ, sdt 0389737287 em cảm ơnn nhiều ạ | Người tham gia ẩn danh 759: mình xin với ạ 0788242921, mình cảm ơn 10",10
AmbitiousPapaya3639,"Ai biết chơi bida lổ ôn gl chơi nek
16h phước lộc
Phúc Thịnh",https://www.facebook.com/groups/mku.cfs/posts/2216229852450484/,2026-05-05T15:19:17.385Z,"Công Vĩ: phước lọc đi tui tiếp bạn giờ nào cũng dc | Nguyên Võ: Công Vĩ riêng thằng em , tối nay ko gặp ko về | Công Vĩ: Nguyên Võ rồi chốt cu em 9-0 | Trịnh Đạt: Phàm Họ Nguyễn | Phàm Họ Nguyễn: Trịnh Đạt lụm 5",5
Ẩn danh,"ai biết anh này cho mình xin info ạ, hôm qua đi mua nước thấy ảnh dth quá",https://www.facebook.com/groups/mku.cfs/posts/2216206599119476/,2026-05-05T15:19:17.385Z,Nhựt Khanh: thg nào z bây gỡ coiiiiii | Nguyễn Hiếu: Dư Phan | Duy Khang: A3 nay tươi tươi | Quỳnh Như: Ngọc Hânn cho 2 e làm quen với ạ | Đạt Trần: A3 | Nguyễn Minh Thư: Bach Tuyet anh 3 bị lên sóng | Capybara1777: Anh bazz | Phạm Tuấn: Anh ba đâu lên đây z 8,8
Ẩn danh,"Ngày mai thứ 3 chị cần 2 bạn mẫu nữ lên làm mẫu giúp chị vào chiều mai lúc 18h. Mai bạn nào rãnh nhắn tin riêng cho chị
Liên hệ : 0847046394 (Zalo Linh)",https://www.facebook.com/groups/mku.cfs/posts/2215663195840483/,2026-05-05T15:19:17.385Z,FriendlyCapybara4512: Làm mẫu gì vậy chị 1,1
Ngọc Yến,"Hiện tại bên mình còn phòng cho thuê 1ng ở ạ . Kế bên Đại Học Cửu Long ạ . Ai có nhu cầu thuê thì liên hệ mình nhaa 
. Cảm ơn mng nhiềuuu ",https://www.facebook.com/groups/mku.cfs/posts/2216159859124150/,2026-05-05T15:19:17.385Z,OptimisticRaspberry4550: giá bao nhiêu v ạ | Ngọc Yến: OptimisticRaspberry4550 b ib mình nhaa mình sẽ nói cụ thể hơn nhaa | thíchmatchalattte: đâu v ạ | Ngọc Yến: Nhà nghỉ Gia Hào ( kế bên Đại Học Cửu Long ) . Cậu ghé xem phòng tham khảo cũng đc ạ | Người tham gia ẩn danh 560: thíchmatchalattte thuê kh ông có gì tui với ông ghép | Người tham gia ẩn danh 560: thíchmatchalattte nam á | thíchmatchalattte: Người tham gia ẩn danh 560 năm hay nữ 7,7
nữ phụ độc ác nhưng đẹp,gần trường có tiệm hớt tóc nào đẹp không ạ,https://www.facebook.com/groups/mku.cfs/posts/2216168935789909/,2026-05-05T15:19:17.385Z,Thanh Khiết: Tiệm anh Duck Tail nè 1,1
HandsomeCamel7233,tìm bạn leo thách đấu đài chung,https://www.facebook.com/groups/mku.cfs/posts/2216078412465628/,2026-05-05T15:19:17.385Z,Người tham gia ẩn danh 299: Thần đồng nào ở ucl vậy | HandsomeCamel7233: sáng chiêu nào bấm chiêu đó th b | Người tham gia ẩn danh 299: HandsomeCamel7233 bạn leo rank Việt vs Mình k lập team nè 3,3
Hỗ_Trợ_VV,Anh em free fire đâu?,https://www.facebook.com/groups/mku.cfs/posts/2215736762499793/,2026-05-05T15:19:17.385Z,"Thảo Thanhh: Thùy Trang | tinhduyenbeekich: Mạnh, xin một chân rửa chén | Chúm_Cihihihi: 2344518646 xin 1 slot luôn | Yen Kha: Ah Thư 
 xin vô đi bà | Thành Khoa: Phan Văn Nhật Hào | Minh Nhựt: Pham Le Kim Phung lẹ lẹ emm | Hkann Hkaan: Vi Vi vô kìa ní | mở cửa trái tim: hơi gà nma xin sl | Minh Anh: Hoài Thanh Xuân vô kìa m | Hỗ_Trợ_VV: Ai vô gửi nhẹ cái id mời vô luôn 10",10
BreathtakingBee5279,Em có cái tính là ngủ rồi ngáy mà học qs ở chung ngủ ngáy sợ mấy bạn xa lánh quá,https://www.facebook.com/groups/mku.cfs/posts/2215698039170332/,2026-05-05T15:19:17.385Z,Zazzaeijfh: mua miếng dán chống ngáy đi bạn | Tường Vi: Pha Pha | Ngọc Hà: Pha Pha thì ngáy to hơn bạn là được | Kim Ngân: Pha Pha trả lời đi bà | Thuỳ Chăm: Pha Pha Lê Nguyễn Duy An quen hong | ẻchaybetbet: Tui hong ngáy mà tui nghiến răng với nói mớ | Người tham gia ẩn danh 646: Sẽ có cách trị hết á bạnnn | Cá_biêtBay: B sẽ đc xếp đi trực nên an tâm nhé8,8
Ẩn danh,Cổng sau ktx còn chỗ nào còn trọ hong vậy ạaa,https://www.facebook.com/groups/mku.cfs/posts/2216135259126610/,2026-05-05T15:19:17.385Z,Ngọc Yến: Mình còn phòng cho thuê ạ | Người tham gia ẩn danh: Ngọc Yến chỗ nào v chị2,2
quydeptrai9642,Giờ bạn nữ nào rảnh qua rước mình đi cf ạ( có trả tiền),https://www.facebook.com/groups/mku.cfs/posts/2216131925793610/,2026-05-05T15:19:17.385Z,Dương Nguyễn Tấn Tài: Minh Anh Ngô Thành | Diễm My: Le Hoang Tuan Khanh Qui Tran Thanh Như | AmbitiousFish5064: Huỳnh Lê Công Nhật đi đi bn3,3
Ẩn danh,cho em hỏi thi kết thúc học phần CNXHKH mình có được trình bày bằng cách - đầu dòng hay + đầu dòng không hay phải trình bày như viết 1 bài văn ạ,https://www.facebook.com/groups/mku.cfs/posts/2217040132369456/,2026-05-06T08:05:45.343Z,Người tham gia ẩn danh 273: Cứ ghi liên tục chỉ xuống dòng là đc1,1
KnowledgeableCelery4229,Tìm anh chị/ bạn nào pass 19 câu xã hội chủ nghĩa ạ?,https://www.facebook.com/groups/mku.cfs/posts/2217016042371865/,2026-05-06T08:05:45.343Z,Người tham gia ẩn danh 719: Cho mình zl ik1,1
Ẩn danh,"dạ em chào mọi người
mọi người cho em hỏi nhà em nghèo khó khăn em có nên học điều dưỡng không ạ em đang bí đường anh chị nào có gợi ý hay lời khuyên gi giúp em với ạ em cảm ơn",https://www.facebook.com/groups/mku.cfs/posts/2217345002338969/,2026-05-07T03:50:31.689Z,"PastelNectarine4226: Điều Dưỡng trường này chỉ có 11tr600 1 kì thôi á nếu như em muốn học và có đam mê thì cứ học nha không sau cả mình ko đủ tiền mình có thể vay á học xong ra đi làm trả lại và em nói hoàn cảnh gđ em khó khăn cũng có thể được trường hỗ trợ giảm học phí năm đầu nữa nè | Nguyen Nhut Huy: Nghĩ đi làm | Người tham gia ẩn danh 264: Khônggg | Boihaimaidaiamduong2020: Mình học cao đẳng ròi làm cod tiền liên thông lên luôn cx đc ad bn | Người tham gia ẩn danh 852: không | Thành Nhật: Chọn ngành khác học phí sẽ rẻ hơn | Nhu Nhu: Muốn thì học thôi. Ko có tiền có thể vay, trong lúc học có thể đi làm thêm nếu có khả năng, tham gia hoạt động ở trường mà có tiền như nghiên cứu khoa học, cuộc thi av, thư viện, tham gia văn nghệ... Học được nhưng mà cực lắm. | Thái Nguyên: Theo Anh thì có thể lựa chọn như sau: | Người tham gia ẩn danh 755: Không9",9
CaringOtter6373,"Em đang tìm việc làm thêm cho sv ạ lương 18k cao hơn càng tốt ạ . Trong khu vực VL gần trường càng tốt ạ , mn ai biết thì cho e xin ạ , em xin cảm ơn.",https://www.facebook.com/groups/mku.cfs/posts/2217345499005586/,2026-05-07T03:50:31.689Z,Người tham gia ẩn danh 228: hồng trà tuổi thơ nha bạn cuối chợ phước yên A á thấy đang tuyển | Tiến Đạt: Ib zalo a | OptimisticFlamingo7132: bạn làm quán nhậu kh 6-11h 20k tiếng | Tr Anh Thu: Mình thấy tuyển 4 -9 h á b 20 k tiếng có gì b lh đi4,4
SoftLobster5166,tìm trọ gần trường ạ,https://www.facebook.com/groups/mku.cfs/posts/2217397812333688/,2026-05-07T03:50:31.689Z,"học_nông_học: mình tìm bạn nữ ở ghép, mình để đồ đạc trên gác, k ở nhà, 1tr2 share tiền đầy đủ, cách trường 4km ib 09457949491",1
Ẩn danh,Cho mình hỏi khi nào thi cuối kỳ 2 vậy ạ,https://www.facebook.com/groups/mku.cfs/posts/2218116225595180/,2026-05-07T15:16:05.508Z,Người tham gia ẩn danh 778: lên web coi đi bạn có chắc h có r đó1,1
Quốc Thái,"𝐋𝐲́ 𝐝𝐨 𝐭𝐚̣𝐢 𝐬𝐚𝐨 𝐩𝐡𝐚̉𝐢 𝐯𝐞̣̂ 𝐬𝐢𝐧𝐡 𝐋𝐚𝐩𝐭𝐨𝐩 đ𝐢̣𝐧𝐡 𝐤𝐲̀...???
Tăng tuổi thọ máy, năng cao hiệu suất tản nhiệt
Giảm giật lag và ngăn ngừa hỏng linh kiện do quá nhiệt.
𝐆𝐡𝐞́ 𝐧𝐠𝐚𝐲 𝐅𝐏𝐓 𝐒𝐇𝐎𝐏 Hoà Phú đ𝐮̛𝐨̛̣𝐜 𝐯𝐞̣̂ 𝐬𝐢𝐧𝐡 𝐋𝐚𝐩𝐭𝐨𝐩 𝐦𝐢𝐞̂̃𝐧 𝐩𝐡𝐢́ 𝐧𝐡𝐞́ 𝐜𝐚́𝐜 𝐛𝐚̣𝐧 𝐨̛𝐢...",https://www.facebook.com/groups/mku.cfs/posts/2214687339271402/,2026-05-07T15:16:05.508Z,Thư Thư: Tuyệt vời . Mới ghé shop vệ sinh miễn phí còn có ưu đãi mua hàng | Vedan Nguyễn: Tuyệt vời2,2
SkilledDeer9215,Cho em hỏi là thi chứng chỉ tiếng anh : đọc nghe viết nói có dễ hong ạ thi cùng một buổi luôn hay sao ạ,https://www.facebook.com/groups/mku.cfs/posts/2218101992263270/,2026-05-07T15:16:05.508Z,Mưa Bay: Dễ lắm e oi thi nằm trong 5 đề hết à thi 1 ngày là xong à1,1
lười_quá_chời,Lập team đi quét lá đa hết mấy chùa ở vĩnh long này tích phước để sài chứ dạo này cạn phước lắm rồi đúng là năm cá nhân số 9 mà ,https://www.facebook.com/groups/mku.cfs/posts/2217969422276527/,2026-05-07T15:16:05.508Z,Người tham gia ẩn danh 682: nam hay nữ dị | Người tham gia ẩn danh 147: Phước Trường đăng kí đi em trai | Người tham gia ẩn danh 316: Cho ké3,3
Ẩn danh,ai đó cho t xin tí rì viu Gold Tea với Hồng Trà Tuổi Thơ đi ,https://www.facebook.com/groups/mku.cfs/posts/2218055635601239/,2026-05-07T15:16:05.508Z,Người tham gia ẩn danh 629: Nước của gold cũng có mấy món ngon á | Tú Em: Người tham gia ẩn danh 629 món nào á b mình cũn muốn thử | Người tham gia ẩn danh 697: gold tea thẳng tiến | RubyRabbit9131: Mới ún HTTT cảm nhận không như mong đợi4,4
Ẩn danh,"Thèm doki quá ai đi ăn chung hong 
( để lại số điện thoại nếu có )
( tui là nữ cần 1 bạn nữ)",https://www.facebook.com/groups/mku.cfs/posts/2217916452281824/,2026-05-07T15:16:05.508Z,"Yen Dan: Rinno Trinh bạn này nè | ThoughtfulParsnip3980: 0357277232 | Lê Huỳnh: Tui với b này xin slot nheNhư Như | Phan Đạt: Chí Hoàng đi kìa m | Phát Đạt: Hữu Đức đi kìa e | Phạm Lê Phương Bảo: Ph Anh Dang doki | EmpatheticNectarine3928: Tui nữ nè bà, cũng thèm gà trong doki gê á7",7
Ẩn danh,Mn ơi cho e hỏi thi chứng chỉ tiếng anh ôn thi đề ra sao ạ,https://www.facebook.com/groups/mku.cfs/posts/2217993842274085/,2026-05-07T15:16:05.508Z,Mưa Bay: Ôn hết 5 đề và thi cung nằm trong 5 đề đó thôi e | Mưa Bay: Người tham gia ẩn danh 366 ko e dễ à | Người tham gia ẩn danh 366: Mưa Bay thi thầy cô gát khó hok c3,3
Xuân Mai,"Năng lượng tích cực
Mình sẽ nhận hữu duyên xem Tarot phí tuỳ tâm cho 5 bạn hợp năng lượng, không giới hạn câu hỏi 30', xem mọi vấn đề và luôn kèm lời khuyên nha",https://www.facebook.com/groups/mku.cfs/posts/2217781355628667/,2026-05-07T15:16:05.508Z,Xuân Mai: .1,1
Công Vĩ,"pass gấp bé gà 1k6, 130k
mua 1 dc 3( cá rô )",https://www.facebook.com/groups/mku.cfs/posts/2217919465614856/,2026-05-07T15:16:05.508Z,mynuhamtien07: Mua về nấu lẩu được hong bạn | tui_nè_âý_ơi: bán cho Lê Nhật Long | Lanh Lanh: Võ Tuấn Cường | Kim Liên: Cựa tốt ko tuii đem về xóm t đá coiiii | Âu Đạt Đạt: Mặt nó ngu luôn | Nguyễn Tâm Đoan: Kkk bay rồi ní ơi6,6
Hoàng Phương," ÔN THI, HỌC HÀNH CĂNG THẲNG HÃY ĐẾN VỚI MEO MEO ĐỂ TIẾP SỨC MÙA THI
 Khung giờ: 16H – 19H
 Ghé Meo Meo là được:
 Bánh tráng trộn hương vị độc quyền của meo meo
Xem thêm",https://www.facebook.com/groups/mku.cfs/posts/2217953358944800/,2026-05-07T15:16:05.508Z,Thu Thuyy: Nhả Uyênn ngon điêngggggg | Hoàng Phương: Chời nhìn yummi quá đii2,2
Call_me_Khoa111," Sinh Viên Khoa CNTT khoá 26 - Làm Website xem Phim cho các bạn cùng xem.
 Cách mà mình sử dụng -> Dùng nhiều nguồn API để làm thành một Web Phim HOÀN CHỈNH
 https://khoamovie.netlify.app
Xem thêm",https://www.facebook.com/groups/mku.cfs/posts/2217916608948475/,2026-05-07T15:16:05.508Z,"Người tham gia ẩn danh 988: Hay quá | Tuann Ann: Tú Emsao em với anh cũng cntt mà | Nguyen Nhut Huy: Giỏi đó, nhưng host này chịu nổi đống vid đó k nhỉ, mà làm vui thì được trích nguồn phim k rõ ăn © thì bóc lịch đó, có tài thì tốt nhưng dùng đúng chổ nhé | Trần Phạm Như Phúc: Võ Duy Phước NP Yến Vy | Mưa Bay: Tuyệt vời | Thái Nguyên: Thời đại AI biết tận dụng AI thì tốt nhưng cần có đủ kiến thức về bảo mật và cấu trúc hệ thống đừng dựa hoàn toàn vào AI quá. | Ngô Thành: Quá đỉnh | The Liêm: Hay ní ơi | Đình Long: wed xịn vi ci eo ông ơi9",9
Lê Phan Lan Vy," ÔN THI, HỌC HÀNH CĂNG THẲNG HÃY ĐẾN VỚI MEO MEO ĐỂ TIẾP SỨC MÙA THI
 Khung giờ: 16H – 21H
 Ghé Meo Meo là được:
… Xem thêm",https://www.facebook.com/groups/mku.cfs/posts/2217949048945231/,2026-05-07T15:16:05.508Z,"lười_quá_chời: Có ship hongg ạ | Hào Văn: Ngon mà ơ xa quaa | Người tham gia ẩn danh 764: Nước ngọt quá trời , uống như uống nước đường á pà | Lê Phan Lan Vy: @nêu bật | Người tham gia ẩn danh 409: Hôm nay còn combo 19k ko ạ | Hoàng Phương: Chời ngon quá lun shop ơi6",6
MotivatedSeahorse5742,mng biết chỗ nào đk thi bằng lái bao đậu không ạ,https://www.facebook.com/groups/mku.cfs/posts/2217291909010945/,2026-05-07T15:16:05.508Z,Người tham gia ẩn danh 435: đậu thì phải do năng lực của mình nữa chứ ai mà bao đậu hết dc | MotivatedSeahorse5742: Người tham gia ẩn danh 435 ùm năng lực là bạn chạy học đk nma ngta k biết chữ mình hỏi giúp đấy bạn bao đậu ở đây cũng k đồng nghĩa là đưa tiền ngồi không vẫn đậu mà cũng có thể là một người chỉ dạy các mẹo lí thuyết đó ạ! | kaka_so_8: Không có bao đậu đâu chỉ có rớt r thi lại thoi ở vĩnh long có gia thịnh á | MotivatedSeahorse5742: kaka_so_8 chuyện đó ai k biết lên đây hỏi chi hihi | ThoughtfulParsnip3980: Ib | ThoughtfulParsnip3980: 0357277232 | MotivatedSeahorse5742: ThoughtfulParsnip3980 để lại fb7,7
AmbitiousPapaya3639,Ai nuôi chuột hamter ôn em cho ạ,https://www.facebook.com/groups/mku.cfs/posts/2217862488953887/,2026-05-07T15:16:05.508Z,Nguyễn Đức Duy: cho tui xin dới | Đăng Khoa: cho tui xin i | PastelOwl8944: Còn k bn mình xin vs | Tiếnn Võ: Tui xin dùm NGUYỄN THẠNH PHÚnh | AmbitiousFish5064: Mik ạ5,5
